"date" "BAC" "INTC" "JPM" "LIN" "MCD" "MSFT" "PG" "T" "VZ" "WMT" "SP500" "Mkt.RF" "SMB" "HML" "RF"
"1948" 2008-06-04 -0.0208141729643854 0.0235396468041378 -0.00620636972108857 0.0124661653045222 0.00729650598513465 0.00842200411381522 0.0158995173055005 -0.0072201446478225 -0.0101714298760587 -0.0015581169450134 -0.000326696179841934 0.02 0.7 -0.74 0.008
"1949" 2008-06-05 0 0.0166097107423933 0.0112893489848462 0.0306525529756088 0.00772534008202719 0.0275957250689876 0.00331045041753342 0.0249353454961099 0.0535427874906242 0.0367545683699952 0.0194961508534064 1.95 0.32 -0.09 0.008
"1950" 2008-06-06 -0.0465769568831872 -0.0406368641825217 -0.0477433420970533 -0.0309507460545583 -0.018949295425868 -0.0286213685365394 -0.0194989521640709 -0.031677567967855 -0.018737369621052 -0.0239129605689942 -0.0308892087079725 -2.9 0.16 -0.03 0.008
"1951" 2008-06-09 -0.0291800803382016 -0.00611370252869803 -0.0643550373842242 0.00801077463132827 0.0414398309302795 0.00800253291378339 0.0107085166277638 -0.0170112049145837 -0.00758564330484246 0.0205586405608837 0.000793688418394334 -0.03 -0.53 -0.22 0.008
"1952" 2008-06-10 0.000337309267489871 -0.00351465975765397 0.0207945833688084 -0.0179584610336833 0.00775595933110274 0.00649619369328014 0.00892989462162275 -0.00905265168278369 -0.0110699332810833 0.00352538180085804 -0.00243807203590884 -0.31 0 -0.22 0.008
"1953" 2008-06-11 -0.0259958059145945 -0.0383599192063511 -0.0302952905716214 -0.00819773011167202 -0.0170653018781799 -0.0276082775717978 -0.00690061989676372 -0.029016398860206 -0.0226546623976294 -0.0210772855322778 -0.0168943435092948 -1.66 -0.14 -0.15 0.008
"1954" 2008-06-12 0.0204505604028837 0.0110045198302431 0.0237007902966568 0.0180142562071566 0.0100424390826674 0.041297873718573 0.00392742349292963 0.00691759184756524 -0.00109108183467954 0.0100819825318434 0.003279698861689 0.31 0 -0.06 0.008
"1955" 2008-06-13 0.0115488148380969 0.0276641618523046 0.0413045659327327 0.0158217455760101 0.0102800937512493 0.0293905167645045 -0.000150444400248584 0.00796900966774206 0.0191100513144726 0.00118407497418582 0.0150462612605935 1.55 0.26 -0.35 0.008
"1956" 2008-06-16 0.0181331542700622 0.00882635376761987 0.00909574017293058 0.00338165845847538 -0.000167422536005546 -0.00481574008839081 -0.00827669674302633 -0.0139040012074324 -0.0291987522993483 0.00219683715437879 8.0870273196032e-05 0.15 0.88 -0.18 0.008
"1957" 2008-06-17 -0.0356199272139966 -0.0122484776835651 -0.022533769509542 -0.00255324404386625 -0.0121786360846294 -0.00449381636032165 -0.00151773707047287 -0.0132705949105801 -0.00965782305010487 -0.0104537530140297 -0.00677133302338728 -0.55 0.15 -0.25 0.008
"1958" 2008-06-18 -0.0297537685696676 -0.0132863382145936 -0.00768460147498162 -0.00235484589694357 -0.0168890995394386 -0.0118055713037896 -0.0121577370993813 -0.0123288542994734 0.00250770657818311 -0.0173792764912434 -0.009711824058657 -0.96 0.2 0.26 0.008
"1959" 2008-06-19 -0.00810748719928422 0.0255836920109391 -0.00232334610795049 0.00482320990732665 0.00652808225383628 0.0165146379449204 -0.00153857232112331 -0.00283640494973969 0.0144522492160089 0.000346734574100616 0.00375232415560722 0.34 0.49 -0.58 0.008
"1960" 2008-06-20 -0.0369579913412295 -0.0210069263042225 -0.020439737438702 -0.00694471413069242 -0.0203106181981915 -0.0241961799607342 -0.0268103660695751 -0.0204836994837652 -0.0306847764801158 -0.0247875675688275 -0.0185428556227414 -1.79 0.34 0.07 0.008
"1961" 2008-06-23 -0.0450183902098105 -0.000446495846613049 -0.0261490037370319 0.023346562479565 -0.00679437905399338 -0.00921020986283272 -0.00364181903803518 -0.00145186297405431 0.0149799072876704 0.00675438011098994 5.30726192848885e-05 -0.16 -0.61 -0.31 0.008
"1962" 2008-06-24 0.0285934761527533 0.00223581893725178 0.02305414814217 -0.0279396958741523 0.000175163142693169 -0.00858082110133263 -0.00111218408617886 -0.00319965589206228 -0.0139236905124367 0.0120055419909662 -0.00281484142640365 -0.54 -1.17 0.28 0.008
"1963" 2008-06-25 -0.000375196497426789 0.010709560917546 0.00503674453301883 0.013544171950761 0.018064191587057 0.0223584381455288 0.0100220547436285 0.00583612994151927 0.00508356537954935 0.0139567456168839 0.00584340729375343 0.64 0.35 -0.43 0.008
"1964" 2008-06-26 -0.0676439275476389 -0.0467992905326761 -0.0419410218665826 -0.043659905381113 -0.027562527204802 -0.0211635820593945 -0.0195303474001218 -0.0290111628400331 -0.0359649727702649 -0.0221954566108691 -0.0293652260275131 -2.83 0.56 0.13 0.008
"1965" 2008-06-27 -0.00886759406839333 -0.00463152370242637 -0.0349671186134093 0.00970638888494824 0.000885767244735103 -0.00432466231910522 -0.0282731843504471 -0.0212128199763615 -0.000874640806830196 -0.00932624461949938 -0.00371742891383064 -0.37 0.23 -0.42 0.008
"1966" 2008-06-30 -0.0292797543419446 -0.000465591804284293 -0.0211123602323456 -0.00443697684827293 -0.00495579345999386 -0.00434291884344817 0.00529010227797899 0.0283878335741801 0.0326720018204836 -0.00177590811251926 0.00126722492033982 -0.07 -1.21 0.32 0.008
"1967" 2008-07-01 -0.00251387150175286 0.00418983969462139 0.00265215797375595 0.00201630771835304 0.0190326928781135 -0.0232641471581635 0.0192403856836745 -0.011575943751844 0.00367242466989692 0.0147687349738934 0.00383596406250009 0.29 -0.44 0.28 0.007
"1968" 2008-07-02 -0.0533390230104441 -0.0296705747941594 0.017048987496683 -0.0366408652668453 0.00244352391227998 -0.0368443687831873 0.0114548272600397 -0.0123119439533369 0.00281459723258726 -0.0092936310348638 -0.0182036200053521 -2 -0.87 0.12 0.007
"1969" 2008-07-03 -0.00621063558007495 -0.012900097667451 0.0205199227796973 0.0353961862578365 -0.00417917610998719 0.00386419713778419 0.0156325172552381 -0.00942536941193739 0.00336802612982812 0.00177016901419025 0.0010939216010224 -0.15 -0.67 -0.17 0.007
"1970" 2008-07-07 -0.0388398071925471 0.00241965214727502 -0.0359668408738796 -0.00743200861152071 0.00297237089519364 0.00192427885945334 -0.0119364736306822 0.00306921824531359 -0.00895159838041459 0.00547650866520111 -0.00838543415848425 -0.81 0.12 -1.12 0.007
"1971" 2008-07-08 0.0933580554049316 0.0101404112057508 0.0508225707503547 -0.00930531900369058 0.0202231589400133 -0.00691485246876145 0.0119217403100531 0.0210658160134474 0.0102859256430277 0.0386580128601068 0.0170803483101305 1.84 1.01 2.35 0.007
"1972" 2008-07-09 -0.0628716309088493 -0.0530590577324366 -0.0416552000746719 -0.0153315460223301 0.0124745511402933 -0.0239844488135306 0.00219957160581519 -0.0254857576997128 -0.0197961268212054 -0.024361396207484 -0.0227761726592074 -2.06 -0.08 -1.32 0.007
"1973" 2008-07-10 0.0135990454954595 0.0408877009188691 0.00670977864789579 0.0126095405595301 -0.013671171063853 0.00871941895883954 0.00658272345611532 0.0202370275965522 0.00692401348678939 -0.00797650412735396 0.00698975199639684 0.65 -0.02 -1.23 0.007
"1974" 2008-07-11 -0.0308582429350662 0.000970613881528415 -0.0391194199878795 -0.00963723401032157 -0.0191643500402365 -0.0078582963313496 -0.0119900279938873 -0.00579814762827524 0.00057308373206566 -0.0160808340571569 -0.0110899439389581 -0.88 1.48 -1.11 0.007
"1975" 2008-07-14 -0.070143322109101 -0.008236578710482 -0.044330350102964 0.000546893578531549 0.0134330207020985 -0.0039604002992244 0.00756530666191169 -0.00644585930623121 -0.00114496258416041 0.000355043902461327 -0.00902785911163351 -0.93 -0.12 -2.43 0.007
